x1=0.19263,0.58483,0.34332,0.24450,0.87268,0.00002,0.12729,0.24261,0.59723,0.16016,1648616.10546,38.69217,6.96357,
x1=0.77581,0.59897,0.55722,0.29971,0.54766,0.99183,0.48341,0.68477,0.48002,0.74652,0.21142,0.24849,0.09784,0.70867,0.85575,0.78903,0.74284,0.10452,0.52087,0.84663,0.84361,0.37775,0.27210,0.12530,0.69135,0.55513,0.00847,0.41603,0.43912,0.78436,0.53148,0.37755,0.09098,0.33945,0.41547,0.24508,0.14346,0.18061,0.67593,0.25148,0.43298,0.31554,0.33743,0.39424,0.26833,0.46968,0.48383,0.04649,0.37057,0.35498,0.27446,0.42511,0.47049,0.10440,0.28012,0.32804,0.39184,0.00012,0.26814,0.73175,0.16110,0.42387,0.41503,0.72345,0.15596,0.12059,0.30686,0.31821,0.37493,0.29503,0.37996,0.32501,0.16865,0.11366,0.71769,0.15621,0.48807,0.35573,0.25248,0.31653,0.43098,0.19085,0.40808,0.40107,0.67223,0.03860,0.28917,0.27873,0.59292,0.12835,0.25119,0.58074,0.16807,0.01806,0.61162,0.37032,0.17227,0.30914,0.51859,0.34877,0.27398,0.37724,0.10006,0.44713,0.45281,0.29589,0.45853,0.24557,0.52254,0.11090,0.36657,0.75629,0.17273,0.07098,378395.97594,1009032.83306,713038.81024,22.60746,25.49923,23.71056,9.53240,13.88048,8.24631,
x1=0.19883,0.70094,0.38783,0.36996,0.67155,0.41425,0.15673,0.59857,0.49601,0.49638,0.86103,0.55507,0.44916,0.07560,0.98456,0.52330,0.62059,0.69566,0.99726,0.72236,0.80138,0.73365,0.86633,0.88431,0.61888,0.31094,0.89701,0.99459,0.13698,0.41970,0.25003,0.04137,0.70860,0.57351,0.03259,0.39390,0.59328,0.19868,0.20804,0.32422,0.43506,0.24072,0.36640,0.18406,0.44954,0.35656,0.29336,0.35007,0.71295,0.27085,0.01620,0.13384,0.46522,0.40094,0.02625,0.51930,0.45445,0.34077,0.26407,0.39516,0.27537,0.23883,0.48580,0.45925,0.36612,0.17463,0.51037,0.47135,0.01828,0.45695,0.12127,0.42178,0.15777,0.58945,0.25278,0.08002,0.62421,0.29578,0.58807,0.39036,0.02157,0.28960,0.41310,0.29731,0.11721,0.60481,0.27797,0.14226,0.72044,0.13730,0.35301,0.12548,0.52151,0.15992,0.28501,0.55507,0.42372,0.13891,0.43737,0.37813,0.47381,0.14806,0.31445,0.10126,0.58429,0.65370,0.24102,0.10529,0.32578,0.40001,0.27421,0.05348,0.09014,0.85638,305240.94905,357866.59279,582056.45592,24.08457,25.56427,24.82443,5.73485,14.05083,10.83905,
x1=0.36655,0.29439,0.01376,0.93799,0.33865,0.16648,0.11517,0.46526,0.01850,0.55233,0.73473,0.57832,0.25141,0.28653,0.91746,0.96033,0.10188,0.87600,0.38838,0.65073,0.39308,0.98512,0.17792,0.25852,0.79292,0.25497,0.46006,0.23083,0.91633,0.08919,0.08140,0.14383,0.77477,0.40220,0.32102,0.27678,0.39700,0.30659,0.29641,0.40734,0.39026,0.20240,0.44558,0.26862,0.28581,0.50390,0.10377,0.39233,0.55520,0.16695,0.27785,0.04776,0.46215,0.49009,0.40099,0.56942,0.02959,0.25878,0.49695,0.24427,0.46965,0.13213,0.39822,0.73054,0.08073,0.18873,0.58419,0.16081,0.25500,0.27120,0.27595,0.45286,0.33037,0.06818,0.60144,0.17716,0.30278,0.52006,0.14678,0.45306,0.40015,0.22037,0.33984,0.43979,0.05669,0.42201,0.52130,0.46298,0.07631,0.46071,0.08865,0.41838,0.49298,0.22034,0.05965,0.72001,0.17147,0.10420,0.72433,0.23634,0.37194,0.39172,0.15726,0.43504,0.40770,0.70210,0.23753,0.06037,0.45113,0.25281,0.29606,0.09030,0.21296,0.69674,429435.29172,732272.27396,1088996.82633,24.23798,24.38354,23.22213,3.85020,12.19845,11.01341,
x1=0.77581,0.59897,0.55722,0.29971,0.54766,0.99183,0.48341,0.68477,0.48002,0.74652,0.21142,0.24849,0.09784,0.70867,0.85575,0.78903,0.74284,0.10452,0.52087,0.84663,0.84361,0.37775,0.27210,0.12530,0.69135,0.55513,0.00847,0.41603,0.43912,0.78436,0.53148,0.37755,0.09098,0.33945,0.41547,0.24508,0.14346,0.18061,0.67593,0.25148,0.43298,0.31554,0.33743,0.39424,0.26833,0.46968,0.48383,0.04649,0.37057,0.35498,0.27446,0.42511,0.47049,0.10440,0.28012,0.32804,0.39184,0.00012,0.26814,0.73175,0.16110,0.42387,0.41503,0.72345,0.15596,0.12059,0.30686,0.31821,0.37493,0.29503,0.37996,0.32501,0.16865,0.11366,0.71769,0.15621,0.48807,0.35573,0.25248,0.31653,0.43098,0.19085,0.40808,0.40107,0.67223,0.03860,0.28917,0.27873,0.59292,0.12835,0.25119,0.58074,0.16807,0.01806,0.61162,0.37032,0.17227,0.30914,0.51859,0.34877,0.27398,0.37724,0.10006,0.44713,0.45281,0.29589,0.45853,0.24557,0.52254,0.11090,0.36657,0.75629,0.17273,0.07098,378395.97594,1009032.83306,713038.81024,22.60746,25.49923,23.71056,9.53240,13.88048,8.24631,
x1=0.58944,0.34425,0.44573,0.32812,0.95359,0.97528,0.36322,0.21306,0.60191,0.90460,0.85670,0.08174,0.21565,0.09193,0.49173,0.03472,0.43690,0.46726,0.98576,0.97629,0.24866,0.60518,0.80059,0.24588,0.45051,0.36005,0.85254,0.89546,0.64038,0.89203,0.31819,0.58385,0.09796,0.34647,0.31008,0.34346,0.31298,0.48949,0.19753,0.40870,0.38057,0.21073,0.24935,0.52114,0.22951,0.38049,0.36718,0.25232,0.31662,0.19728,0.48610,0.24638,0.29367,0.45995,0.57760,0.29131,0.13108,0.42897,0.33722,0.23381,0.34933,0.53429,0.11637,0.48744,0.21122,0.30134,0.56399,0.34548,0.09053,0.37681,0.12436,0.49883,0.15018,0.52555,0.32427,0.49422,0.38910,0.11668,0.19667,0.13840,0.66493,0.45829,0.31749,0.22422,0.06953,0.76799,0.16247,0.39393,0.54357,0.06250,0.35986,0.20586,0.43428,0.32304,0.53524,0.14172,0.14652,0.56850,0.28498,0.53414,0.45363,0.01223,0.57618,0.31426,0.10956,0.31812,0.28751,0.39437,0.63912,0.11735,0.24353,0.09809,0.75077,0.15114,386074.32926,935315.97604,239551.73212,21.27608,21.52856,24.66087,12.88806,13.35375,12.72294,
x1=0.05723,0.97595,0.78120,0.55568,0.88774,0.86997,0.03068,0.81192,0.02658,0.13012,0.88022,0.78551,0.72312,0.09219,0.59942,0.73695,0.87315,0.61816,0.40681,0.98381,0.97380,0.07584,0.29884,0.55751,0.58498,0.17483,0.40512,0.05703,0.58573,0.03857,0.28025,0.11860,0.60116,0.15438,0.41958,0.42604,0.50208,0.12609,0.37183,0.12412,0.23109,0.64479,0.50205,0.37699,0.12096,0.08435,0.61209,0.30355,0.18063,0.35894,0.46043,0.04243,0.71440,0.24317,0.41293,0.19135,0.39572,0.00263,0.05320,0.94418,0.34187,0.33132,0.32681,0.00338,0.98019,0.01643,0.41286,0.44807,0.13907,0.05009,0.39524,0.55467,0.50582,0.00179,0.49239,0.26217,0.16720,0.57064,0.34188,0.17156,0.48656,0.29317,0.43334,0.27350,0.47103,0.25392,0.27504,0.51626,0.16831,0.31543,0.48155,0.02358,0.49487,0.12384,0.57461,0.30155,0.06878,0.23302,0.69819,0.29544,0.36907,0.33549,0.42558,0.43116,0.14326,0.40077,0.21796,0.38127,0.44998,0.11760,0.43242,0.03762,0.18529,0.77710,0.32709,0.08361,0.58930,0.02885,0.92344,0.04771,22.23149,13.69383,-3.01841,
x08=0.77789,1.84290,-2.75191,2.46185,0.61318,0.24553,-0.53735,0.41492,0.76053,-0.08664,0.14942,0.57780,0.01891,0.40330,0.41881,0.20323,0.37796,0.41761,0.16134,0.42105,0.78296,0.00963,0.20742,0.72022,0.04687,0.23292,0.33979,0.17941,0.48080,0.01273,0.39203,0.59523,0.45633,0.06418,0.47949,0.25715,0.38651,0.35634,0.10370,0.74236,0.15394,0.33161,0.37129,0.29711,14.72730,5.15576,9.66305,
x08=0.64706,0.23725,-0.41603,0.87671,0.59398,0.33538,0.00555,0.01847,0.43757,0.53447,0.65969,0.08275,0.49662,0.42063,0.63404,0.36429,0.00167,0.24569,0.61006,0.14425,0.35120,0.27052,0.37828,0.21009,0.39714,0.39278,0.31371,0.44641,0.23988,0.37465,0.15404,0.47131,0.42256,0.02439,0.55305,0.62339,0.14669,0.22991,0.10389,0.80841,0.08770,0.30711,0.58570,0.10719,4.54699,2.35895,2.64165,
x08=-2.11688,1.51880,0.71321,-1.17493,-0.57103,-0.83389,1.00752,0.23067,-0.61167,1.54532,0.13390,0.17171,0.39740,0.43089,0.07911,0.65451,0.26637,0.37515,0.38703,0.23782,0.25489,0.46801,0.27710,0.45604,0.38343,0.16053,0.33595,0.14144,0.52261,0.30508,0.56050,0.13442,0.12335,0.70496,0.17169,0.36257,0.39304,0.24439,0.20349,0.29173,0.50478,0.21244,0.60030,0.18726,2.97901,3.02623,2.86770,
x08=0.54965,0.38150,0.19871,0.46298,0.78010,0.57865,0.77098,0.64776,0.32625,0.39958,0.63300,0.54134,0.32001,0.13865,0.79299,0.05796,0.14904,0.29009,0.35875,0.35116,0.14770,0.57214,0.28015,0.02459,0.42357,0.55184,0.14315,0.51854,0.33831,0.48101,0.40971,0.10929,0.12363,0.01085,0.86551,0.21022,0.71789,0.07190,5.73175,14.13738,3.34465,246.89070,453.08246,334.87256,6.33062,0.07042,-13.32972,
x08=0.68257,0.01698,0.11577,0.36392,0.24290,0.29442,0.23546,0.49828,0.48053,0.52756,0.38651,0.03291,0.01879,0.00015,0.02323,0.01015,0.00971,0.17732,0.28885,0.53383,0.00089,0.01112,0.01013,0.00102,0.02710,0.02632,0.01959,0.01246,0.00310,0.54834,0.05996,0.39170,0.00076,0.00085,0.01006,0.00605,0.03013,0.01917,9.60749,8.35614,8.02939,49.10410,16.51954,8.67547,3.69926,4.31678,4.27054,
x08=0.36814,0.72885,0.68904,0.73773,0.63996,0.03106,0.13947,0.15186,0.05342,0.82767,0.43465,0.51751,0.25964,0.22285,0.02079,0.02234,0.01779,0.47936,0.08117,0.43947,0.02017,0.04119,0.00565,0.02333,0.00880,0.02951,0.69536,0.08464,0.22000,0.45249,0.26709,0.28042,0.02904,0.00734,0.00400,0.01211,0.01441,0.01530,10.05180,9.04736,6.42900,52.20241,52.37379,13.44184,3.55538,3.48386,4.24238,
x08=0.66356,0.92088,7.40924,19.73758,203.03065,102.85839,49.67659,64.90555,33.93767,0.00000,0.20753,0.00000,0.00000,0.00080,0.00000,0.00482,0.00026,0.00000,0.00000,0.00045,0.00459,0.00000,0.00474,0.00000,0.00773,0.01049,0.00391,0.00000,0.03823,0.00000,0.01807,0.01531,0.00882,0.00024,0.00139,0.00000,0.00000,0.04210,35.32795,9.68376,8.14792,2.00000,7553.33498,8523.07131,63.06140,3.00000,111.47405,
x08=0.45646,0.46113,0.50565,0.41068,0.11414,0.70829,0.50805,0.63867,0.76633,0.47323,0.78548,0.00277,0.00979,0.00626,0.03298,0.02766,0.00349,0.02492,0.00571,0.03008,0.37640,0.20465,0.41895,0.00407,0.00002,0.02199,0.02866,0.02395,0.00924,0.04172,0.00821,0.00117,0.00987,0.00480,0.01978,0.51438,0.31236,0.17327,9.12245,8.27535,7.31476,31.29497,30.53606,70.08372,3.66061,5.07319,5.13629,
x08=1.00000,0.03927,0.00000,0.89977,0.77881,0.95971,0.50328,0.86521,0.84564,0.00000,0.00000,0.00454,0.01728,0.01921,0.01467,0.00000,0.00776,0.00000,0.00250,0.00000,0.00302,0.00000,0.01821,0.00000,0.00000,0.00000,0.01002,0.00102,0.01660,0.00091,0.00000,0.00000,0.00000,0.00000,0.00045,0.00000,0.00000,0.00000,9.00000,8.15096,7.00170,15.43716,18.45997,56.00000,3.59165,3.20362,3.18385,
x1=0.00000,0.00000,1.00000,0.16347,0.85037,0.45370,0.16331,0.00000,1.00000,0.46423,0.80616,0.90000,1.00000,0.24245,0.18012,0.02310,1.00000,0.16143,0.00000,1.00000,0.00000,0.71069,0.16063,0.69366,0.51385,0.00000,1.00000,0.54783,0.00000,0.74294,0.00000,0.02424,0.00000,0.00000,0.05894,0.00000,0.00000,0.06886,0.00717,0.01449,0.00000,0.00000,0.00161,0.00000,0.00000,0.03368,0.00000,0.00000,0.03394,0.02568,0.00000,0.00000,0.00000,1.00000,0.00000,0.00573,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.04697,0.01617,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.12222,0.00490,0.00793,0.00000,0.00000,0.00000,0.00280,0.02966,0.04855,0.00000,0.00000,0.02109,0.00000,0.00000,0.11497,1.93240,1.93240,1.40010,240580.00006,1046900.00000,337149.54897,22.08430,26.00000,21.59491,8.27132,16.30000,14.59388,
x08=0.13487,1.00000,0.00000,0.30017,0.59943,0.77360,0.00000,0.00000,1.00000,0.49644,0.00000,0.00636,0.00042,0.00000,0.00069,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00454,0.00290,0.00000,0.00000,0.00000,0.00151,0.00000,0.00435,0.00000,0.00000,0.00000,0.00000,0.00691,0.00000,0.00494,0.00000,9.00000,8.99086,7.00178,2.00000,31.77587,31.39231,5.00000,5.00000,4.02670,
x08=0.13487,1.00000,0.00000,0.30017,0.59943,0.77360,0.00000,0.00000,1.00000,0.49644,0.00000,0.00636,0.00042,0.00000,0.00069,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00454,0.00290,0.00000,0.00000,0.00000,0.00151,0.00000,0.00435,0.00000,0.00000,0.00000,0.00000,0.00691,0.00000,0.00494,0.00000,9.00000,8.99086,7.00178,2.00000,31.77587,31.39231,5.00000,5.00000,4.02670,
x08=1.00000,1.00000,1.00000,0.02935,0.00000,0.99856,0.99856,0.00000,0.22808,0.00144,1.00000,0.00000,0.00001,0.00000,0.00000,0.00045,0.00010,0.00000,0.00000,0.00000,0.00036,0.00000,0.00000,0.00000,0.00000,0.00030,0.00000,0.00000,0.00000,0.00099,0.00028,0.00000,0.00000,0.00000,0.00000,0.00007,0.00000,0.00013,9.00000,9.00000,7.00000,56.00000,19.93722,2.00000,5.00000,4.67995,3.00000,
x08=1.00000,1.00000,1.00000,0.02935,0.00000,0.99856,0.99856,0.00000,0.22808,0.00144,1.00000,0.00000,0.00001,0.00000,0.00000,0.00045,0.00010,0.00000,0.00000,0.00000,0.00036,0.00000,0.00000,0.00000,0.00000,0.00030,0.00000,0.00000,0.00000,0.00099,0.00028,0.00000,0.00000,0.00000,0.00000,0.00007,0.00000,0.00013,9.00000,9.00000,7.00000,56.00000,19.93722,2.00000,5.00000,4.67995,3.00000,
x08=0.06593,0.34238,0.50715,0.61550,0.46866,1.00000,1.00000,1.00000,0.00000,0.00001,0.39292,0.00207,0.00000,0.00340,0.00000,0.00771,0.00000,0.00000,0.00000,0.00000,0.00000,0.00012,0.00000,0.00000,0.00079,0.01434,0.00000,0.00000,0.00000,0.00000,0.00939,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00222,9.00000,9.00000,7.01021,4.09931,41.12104,27.89159,4.36036,5.00000,5.00000,
