Iteration: 1,  Best: 0.336620,  F: 0.800000,  CR: 0.500000,  NP: 130
Iteration: 2,  Best: 0.336620,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 3,  Best: 0.336620,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 4,  Best: 0.336620,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 5,  Best: 0.336620,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 6,  Best: 0.336620,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 7,  Best: 0.336620,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 8,  Best: 0.336620,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 9,  Best: 0.336620,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 10,  Best: 0.336620,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 11,  Best: 0.336620,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 12,  Best: 0.336620,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 13,  Best: 0.336620,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 14,  Best: 0.336620,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 15,  Best: 0.336620,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 16,  Best: 0.336620,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 17,  Best: 0.336620,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 18,  Best: 0.336620,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 19,  Best: 0.336620,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 20,  Best: 0.336620,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 21,  Best: 0.336620,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 22,  Best: 0.336620,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 23,  Best: 0.336620,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 24,  Best: 0.336620,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 25,  Best: 0.336620,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 26,  Best: 0.336620,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 27,  Best: 0.336620,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 28,  Best: 0.336620,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 29,  Best: 0.336620,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 30,  Best: 0.336620,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 31,  Best: 0.336620,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 32,  Best: 0.336620,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 33,  Best: 0.336620,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 34,  Best: 0.336620,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 35,  Best: 0.336620,  F: 1.000000,  CR: 0.750000,  NP: 130
