Iteration: 73,  Best: 0.338171,  F: 0.206434,  CR: 0.176869,  NP: 130
Iteration: 74,  Best: 0.338171,  F: 0.105176,  CR: 0.103738,  NP: 130
Iteration: 75,  Best: 0.338171,  F: 0.100646,  CR: 0.100467,  NP: 130
Iteration: 76,  Best: 0.338171,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 77,  Best: 0.338171,  F: 0.100000,  CR: 0.100000,  NP: 130
Iteration: 78,  Best: 0.338171,  F: 0.207830,  CR: 0.177878,  NP: 130
Iteration: 79,  Best: 0.338171,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 80,  Best: 0.338171,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 81,  Best: 0.338171,  F: 0.357907,  CR: 0.286261,  NP: 130
Iteration: 82,  Best: 0.338171,  F: 0.443116,  CR: 0.347810,  NP: 130
Iteration: 83,  Best: 0.338171,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 84,  Best: 0.338171,  F: 0.100000,  CR: 0.100000,  NP: 130
Iteration: 85,  Best: 0.338171,  F: 0.100536,  CR: 0.100387,  NP: 130
Iteration: 86,  Best: 0.338171,  F: 0.100008,  CR: 0.100006,  NP: 130
Iteration: 87,  Best: 0.338171,  F: 0.114580,  CR: 0.110531,  NP: 130
Iteration: 88,  Best: 0.338171,  F: 0.100103,  CR: 0.100075,  NP: 130
Iteration: 89,  Best: 0.338171,  F: 0.100000,  CR: 0.100000,  NP: 130
Iteration: 90,  Best: 0.338171,  F: 0.100047,  CR: 0.100034,  NP: 130
Iteration: 91,  Best: 0.338171,  F: 0.100072,  CR: 0.100052,  NP: 130
Iteration: 92,  Best: 0.338171,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 93,  Best: 0.338171,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 94,  Best: 0.338171,  F: 0.100000,  CR: 0.100000,  NP: 130
Iteration: 95,  Best: 0.338171,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 96,  Best: 0.338171,  F: 0.100000,  CR: 0.100000,  NP: 130
Iteration: 97,  Best: 0.338171,  F: 0.100064,  CR: 0.100046,  NP: 130
Iteration: 98,  Best: 0.338171,  F: 1.000000,  CR: 0.750000,  NP: 130
