x4,x3,x2,x1
5.1,26,3.7417e+05,1.6824
3.7,26,4.3931e+05,1.8521
11.5,26,5.8812e+05,1.8088
16.3,26,8.1089e+05,1.6794
8,26,4.7405e+05,1.7993
9,26,9.308e+05,1.6178
12.2,21,2.2578e+05,1.2074
5.1,24,3.95e+05,1.7478
6.1,26,1.01e+06,1.4251
12.7,26,8.7567e+05,1.5917
5.5,24,3.4339e+05,1.7118
16.3,26,8.1265e+05,1.6418
8,26,4.9998e+05,1.7793
16.3,26,7.9083e+05,1.6167
11.5,26,6.3985e+05,1.3659
12.7,26,8.6231e+05,1.506
8,26,5.0381e+05,1.8342
5.5,24,3.333e+05,1.7688
13.4,26,6.6079e+05,1.3042
9,24,2.4161e+05,1.1903
16.3,26,8.1039e+05,1.6313
8,26,4.9168e+05,1.8404
6.1,26,9.8684e+05,1.4251
8,26,4.7938e+05,1.7937
9,26,2.7653e+05,1.2104
15.3,26,7.1471e+05,1.3719
12.7,26,8.4854e+05,1.6486
3.7,26,4.4079e+05,1.8219
6.1,26,9.7722e+05,1.4251
5.5,26,3.0903e+05,1.2011
9,24,2.5776e+05,1.1898
9,24,2.6097e+05,1.1995
6.1,26,9.8108e+05,1.4251
9,26,9.422e+05,1.6943
4.3,26,1.0362e+06,1.4251
9,26,9.5354e+05,1.4866
15.3,26,7.121e+05,1.4196
16.3,26,8.1455e+05,1.6288
9,26,9.5733e+05,1.4251
9,26,9.3483e+05,1.6287
12.7,26,8.3769e+05,1.5469
12.7,26,8.6442e+05,1.632
6.9,26,5.3587e+05,1.7957
15.3,26,7.6968e+05,1.6122
4.3,26,1.0624e+06,1.4339
15.3,26,7.6828e+05,1.6247
5.1,24,3.5245e+05,1.7379
6.9,26,5.6638e+05,1.8575
9,26,9.1948e+05,1.3728
8,26,4.9746e+05,1.8509
9,21,2.2813e+05,1.2027
13.4,26,1.1143e+06,2.0061
9,24,2.4375e+05,1.2003
3.7,26,4.3752e+05,1.862
8,26,4.7722e+05,1.8465
8,26,4.9957e+05,1.7995
6.9,26,5.7272e+05,1.8025
9,24,2.7257e+05,1.2159
9,21,2.2849e+05,1.2205
6.9,26,5.7908e+05,1.7944
3.7,26,4.5852e+05,1.8266
5.1,24,4.0434e+05,1.6932
9,26,9.1426e+05,1.6338
12.7,26,8.8128e+05,1.6264
6.1,26,1.0139e+06,1.4251
9,26,9.1541e+05,1.4086
5.5,26,3.1298e+05,1.1989
5.5,26,2.8721e+05,1.2176
9,24,2.5644e+05,1.2355
3.7,26,4.4687e+05,1.7631
5.1,26,3.5871e+05,1.7481
9,26,9.0784e+05,1.6304
9,26,9.2419e+05,1.546
15.3,26,7.4557e+05,1.4937
8,26,5.0662e+05,1.8313
9,26,2.8507e+05,1.2007
8,26,4.8008e+05,1.7873
9,21,2.4095e+05,1.1995
11.5,26,6.0221e+05,1.304
3.7,26,4.5701e+05,1.8417
3.7,26,4.3931e+05,1.8521
4.3,26,1.0557e+06,1.3821
12.7,26,8.6519e+05,1.5742
5.1,26,3.6679e+05,1.7928
4.3,26,1.0296e+06,1.4251
6.9,26,5.5101e+05,1.7814
11.5,26,6.0456e+05,1.2625
12.7,26,8.4558e+05,1.582
15.3,26,7.4309e+05,1.5364
16.3,26,7.9719e+05,1.609
6.9,26,5.4367e+05,1.7979
3.7,26,4.176e+05,1.7674
9,24,2.6109e+05,1.2084
6.9,26,5.7705e+05,1.7997
11.5,26,6.1431e+05,1.2807
12.2,21,2.2011e+05,1.2149
15.3,26,7.2347e+05,1.3975
16.3,26,7.7929e+05,1.6047
4.3,26,1.0352e+06,1.4251
16.3,26,8.0123e+05,1.6206
6.1,26,9.9596e+05,1.4251
15.3,26,7.4666e+05,1.4103
12.7,26,8.8376e+05,1.5861
4.3,26,1.0621e+06,1.4072
6.9,26,5.5416e+05,1.7921
9,26,9.4068e+05,1.7075
6.1,26,9.6197e+05,1.4251
12.7,26,8.4443e+05,1.5536
5.1,24,3.5163e+05,1.7078
6.9,26,5.7692e+05,1.7848
13.4,26,6.9351e+05,1.3473
9,21,2.284e+05,1.226
8,26,5.2191e+05,1.8837
11.5,26,6.0814e+05,1.2861
5.1,24,3.9913e+05,1.6884
15.3,26,7.6212e+05,1.5385
5.5,24,3.3289e+05,1.7159
