3.5118,8.6302,0.86535,0.99828,1.7307,1.9966,0.6935,1.3869,77.469,81
1.7546,2.1508,0.52353,0.63327,1.0471,1.2665,0.47769,0.95543,77.469,82
4.0016,3.2475,0.90854,0.8349,1.8171,1.6698,0.58858,1.1771,77.469,83
2.8481,5.2284,0.77698,0.9666,1.554,1.9332,0.73038,1.4608,77.469,84
0,0,0,0,0,0,0.1,0.1,77.469,85
3.4921,7.2231,0.86327,0.994,1.7265,1.988,0.68724,1.3745,74.638,86
1.4561,1.0398,0.42738,0.27888,0.85476,0.55776,0.33539,0.66209,74.638,87
7.0008,11.859,0.99271,0.99991,1.9854,1.9998,0.97089,1.9419,74.638,88
0,0,0,0,0,0,0.1,0.1,74.638,89
3.4458,7.1978,0.85827,0.99387,1.7165,1.9877,0.68738,1.3748,64.797,90
1.1462,1.1505,0.31783,0.31942,0.63566,0.63883,0.29653,0.58074,64.797,91
7.1347,11.972,0.99352,0.99992,1.987,1.9998,0.97399,1.9483,64.797,92
0,0,0,0,0,0,0.1,0.1,64.797,93
3.3563,7.2153,0.84812,0.99396,1.6962,1.9879,0.69084,1.3817,64.797,94
1.2394,1.0266,0.35156,0.27402,0.70311,0.54804,0.29138,0.5697,64.797,95
6.9346,10.965,0.99228,0.99979,1.9846,1.9996,0.96897,1.9377,64.797,96
0,0,0,0,0,0,0.1,0.1,64.797,97
3.135,6.4662,0.82013,0.98839,1.6403,1.9768,0.70701,1.414,49.123,98
1.5173,1.0792,0.44795,0.29335,0.8959,0.5867,0.35621,0.70543,49.123,99
5.9888,9.8655,0.98248,0.99944,1.965,1.9989,0.93091,1.8616,49.123,100
0,0,0,0,0,0,0.1,0.1,49.123,101
3.1825,6.496,0.82651,0.98869,1.653,1.9774,0.69988,1.3997,49.123,102
1.1358,0.49831,0.31407,0.089692,0.62814,0.17938,0.21836,0.40757,49.123,103
6.1028,10.993,0.98411,0.9998,1.9682,1.9996,0.938,1.8761,49.123,104
0,0,0,0,0,0,0.1,0.1,49.123,105
3.0493,6.0816,0.80809,0.98382,1.6162,1.9676,0.71526,1.4306,49.123,106
0.58859,0.71283,0.11816,0.16028,0.23632,0.32056,0.14122,0.23534,49.123,107
4.5996,9.4212,0.94369,0.99916,1.8874,1.9983,0.80622,1.6124,46.533,108
0,0,0,0,0,0,0.1,0.1,46.533,109
2.8934,5.3648,0.78436,0.97022,1.5687,1.9404,0.72555,1.4512,46.533,110
0,0,0,0,0,0,0.1,0.1,46.533,111
2.8889,5.5016,0.78364,0.97347,1.5673,1.9469,0.73478,1.4697,45.145,112
0,0,0,0,0,0,0.1,0.1,45.145,113
2.886,5.6382,0.78316,0.97637,1.5663,1.9527,0.74299,1.486,40.967,114
0.66379,0.58935,0.14332,0.11841,0.28664,0.23681,0.1345,0.21924,40.967,115
4.1556,8.1914,0.91918,0.99745,1.8384,1.9949,0.74638,1.4927,40.967,116
0.60798,0.044354,0.12453,0.00095501,0.24907,0.00191,0.10001,0.12735,40.967,117
2.9394,5.5292,0.79162,0.97408,1.5832,1.9482,0.72169,1.4432,40.967,118
0.82769,0.88513,0.20119,0.22208,0.40239,0.44417,0.1996,0.37003,40.967,119
4.6755,7.5772,0.9471,0.99561,1.8942,1.9912,0.80699,1.614,40.967,120
0.55338,0.016045,0.1068,0.00012736,0.21361,0.00025472,0.096454,0.11606,40.967,121
2.6322,4.5235,0.73877,0.94007,1.4775,1.8801,0.68629,1.3727,33.98,122
1.2049,0.5462,0.33913,0.10452,0.67825,0.20904,0.2366,0.44763,33.98,123
4.904,7.1706,0.95621,0.99372,1.9124,1.9874,0.82764,1.6554,33.104,124
0,0,0,0,0,0,0.1,0.1,33.104,125
2.4709,3.886,0.70668,0.8997,1.4134,1.7994,0.57414,1.1482,33.104,126
1.5545,1.3402,0.46023,0.38736,0.92047,0.77471,0.44463,0.88679,33.104,127
3.8216,3.8433,0.89444,0.89624,1.7889,1.7925,0.59503,1.19,33.104,128
1.6324,1.6741,0.48546,0.49867,0.97092,0.99733,0.60377,1.2075,33.104,129
2.1909,1.4684,0.64321,0.43154,1.2864,0.86308,0.45096,0.90143,33.104,130
3.0926,2.7174,0.81426,0.75447,1.6285,1.5089,0.64148,1.2829,33.104,131
1.1888,0.47928,0.33331,0.083987,0.66663,0.16797,0.23105,0.43451,33.104,132
4.3312,6.1469,0.92989,0.9847,1.8598,1.9694,0.7436,1.4872,29.728,133
0.53205,0.22132,0.10007,0.02116,0.20015,0.04232,0.097568,0.12059,29.728,134
2.5585,3.8222,0.7245,0.89449,1.449,1.789,0.58989,1.1798,28.506,135
1.5076,0.5789,0.44473,0.115,0.88946,0.23001,0.30611,0.59411,28.506,136
4.5018,5.8676,0.93899,0.98057,1.878,1.9611,0.75435,1.5087,28.506,137
0.71198,0.32367,0.15998,0.042339,0.31996,0.084677,0.11927,0.18017,28.506,138
2.997,4.2069,0.8004,0.92246,1.6008,1.8449,0.6173,1.2346,23.841,139
1.0636,0.62601,0.28763,0.13054,0.57527,0.26108,0.20941,0.39011,23.841,140
4.1337,4.9963,0.91774,0.95945,1.8355,1.9189,0.6814,1.3628,23.841,141
0.48319,0.13163,0.085149,0.0079391,0.1703,0.015878,0.094335,0.10839,23.841,142
2.2412,3.1976,0.65535,0.82848,1.3107,1.657,0.5231,1.0462,23.841,143
1.9546,1.3125,0.58157,0.3776,1.1631,0.7552,0.40708,0.81249,23.841,144
3.7861,2.7744,0.89143,0.76453,1.7829,1.5291,0.60696,1.2139,23.841,145
0.97922,0.41018,0.2566,0.064301,0.51319,0.1286,0.17631,0.31398,23.841,146
3.6567,4.7324,0.87978,0.94953,1.7596,1.8991,0.63475,1.2694,22.591,147
0.89817,0.50824,0.22685,0.092713,0.4537,0.18543,0.16532,0.29053,22.591,148
3.229,3.6091,0.83254,0.87521,1.6651,1.7504,0.56762,1.1353,22.591,149
2.0044,1.0424,0.59519,0.27982,1.1904,0.55965,0.35524,0.70697,22.591,150
3.8841,3.64,0.89956,0.87819,1.7991,1.7564,0.58864,1.1773,22.591,151
1.3208,1.1383,0.38055,0.31496,0.76109,0.62991,0.32932,0.64964,22.591,152
3.853,3.7381,0.89704,0.88724,1.7941,1.7745,0.59138,1.1827,19.116,153
0.95131,0.69425,0.24634,0.15381,0.49267,0.30762,0.19376,0.35633,19.116,154
3.3693,3.4516,0.84964,0.85891,1.6993,1.7178,0.56297,1.1259,19.116,155
1.1784,0.56763,0.32954,0.11136,0.65909,0.22272,0.23116,0.43636,19.116,156
3.567,3.7677,0.87103,0.88984,1.7421,1.7797,0.57995,1.1599,19.116,157
1.2267,0.80529,0.34699,0.19311,0.69397,0.38622,0.25806,0.49741,19.116,158
3.4083,3.0432,0.8541,0.80722,1.7082,1.6144,0.56828,1.1365,18.869,159
1.061,0.45494,0.28666,0.07686,0.57331,0.15372,0.19822,0.36307,18.869,160
3.2512,2.9257,0.83535,0.78947,1.6707,1.5789,0.58215,1.1643,18.171,161
0.75772,0.31053,0.1761,0.039306,0.35219,0.078612,0.12552,0.19543,18.171,162
2.3573,2.3807,0.68216,0.68734,1.3643,1.3747,0.5369,1.0738,17.702,163
1.7609,0.78778,0.52543,0.18682,1.0509,0.37364,0.33013,0.65037,17.702,164
3.3067,2.2932,0.84222,0.66757,1.6844,1.3351,0.52738,1.0548,16.271,165
1.5044,0.50739,0.44364,0.092454,0.88728,0.18491,0.30911,0.59859,16.271,166
3.0702,2.3833,0.8111,0.68791,1.6222,1.3758,0.56046,1.1209,12.52,167
0.92279,0.45815,0.23586,0.07779,0.47173,0.15558,0.16659,0.2928,12.52,168
2.7091,2.5447,0.75298,0.72175,1.506,1.4435,0.71543,1.431,12.52,169
0.34588,0.042324,0.047658,0.00087079,0.095315,0.0017416,0.093645,0.097408,12.52,170
1.5906,1.6938,0.47201,0.50484,0.94403,1.0097,0.57762,1.1552,11.707,171
0.93446,0.47395,0.24015,0.082409,0.48029,0.16482,0.1702,0.30116,11.707,172
2.6693,2.2611,0.74572,0.66007,1.4914,1.3201,0.58024,1.1606,11.707,173
0.90335,0.51663,0.22874,0.09529,0.45749,0.19058,0.16705,0.29456,11.707,174
2.4355,2.0892,0.69921,0.61761,1.3984,1.2352,0.5042,1.0084,10.761,175
1.6546,1.1025,0.49253,0.3019,0.98506,0.6038,0.38978,0.7747,10.761,176
2.5563,1.7055,0.72406,0.50846,1.4481,1.0169,0.62996,1.2599,9.8723,177
0.71816,0.19253,0.16214,0.016319,0.32428,0.032638,0.11456,0.16725,9.8723,178
1.7755,1.6501,0.52982,0.4911,1.0596,0.98219,0.55257,1.105,8.9231,179
1.3064,0.6234,0.37545,0.12967,0.7509,0.25933,0.26197,0.503,8.9231,180
2.6775,1.8238,0.74722,0.54421,1.4944,1.0884,0.6097,1.2194,8.9231,181
0.68988,0.53315,0.15229,0.10042,0.30459,0.20084,0.13209,0.21316,8.9231,182
1.9418,1.5967,0.578,0.474,1.156,0.948,0.47629,0.95233,8.9231,183
1.6967,0.80491,0.50573,0.19297,1.0115,0.38595,0.33661,0.66251,8.9231,184
2.5144,1.5413,0.71565,0.45591,1.4313,0.91181,0.57439,1.1487,8.9231,185
0.99809,0.39921,0.26354,0.061341,0.52708,0.12268,0.18028,0.32264,8.9231,186
2.169,1.4915,0.63781,0.43933,1.2756,0.87867,0.45259,0.90473,8.9231,187
1.8703,0.97231,0.55776,0.25406,1.1155,0.50811,0.34552,0.68566,7.9268,188
2.4109,1.51,0.69393,0.44551,1.3879,0.89102,0.52253,1.0448,7.9268,189
